chr	start	end	EnsemblID	GeneSymbol
101	1	1335276	1349350	ENSG00000107404	DVL1
102	1	1352689	1361777	ENSG00000162576	MXRA8
103	1	1373730	1375495	ENSG00000175756	AURKAIP1
104	1	1378666	1379032	ENSG00000223663	NDUFB4P8
105	1	1385711	1399328	ENSG00000221978	CCNL2
106	1	1399522	1402046	ENSG00000224870	RP4-758J18.2
107	1	1401908	1407313	ENSG00000242485	MRPL20
108	1	1405460	1405752	ENSG00000264293	RN7SL657P
109	1	1409096	1410618	ENSG00000272455	RP4-758J18.13
110	1	1418420	1421769	ENSG00000235098	ANKRD65
111	1	1420245	1422691	ENSG00000225905	RP4-758J18.7
112	1	1426128	1427787	ENSG00000205116	TMEM88B
113	1	1430539	1434573	ENSG00000225285	RP4-758J18.10
114	1	1434861	1442882	ENSG00000179403	VWA1
115	1	1449689	1470158	ENSG00000215915	ATAD3C
116	1	1471769	1497848	ENSG00000160072	ATAD3B
117	1	1512151	1534687	ENSG00000197785	ATAD3A
118	1	1535174	1540453	ENSG00000205090	TMEM240
119	1	1541673	1574869	ENSG00000160075	SSU72
120	1	1574975	1577075	ENSG00000215014	RP5-832C2.5
121	1	1579756	1580046	ENSG00000279244	AL645728.1
122	1	1583510	1583909	ENSG00000274481	RP11-345P4.11
123	1	1598012	1600096	ENSG00000228594	FNDC10
124	1	1613758	1615795	ENSG00000272106	RP11-345P4.9
125	1	1615415	1630610	ENSG00000197530	MIB2
126	1	1632095	1635263	ENSG00000189409	MMP23B
127	1	1635227	1659012	ENSG00000248333	CDK11B
128	1	1659325	1662602	ENSG00000272004	RP11-345P4.10
129	1	1659529	1692728	ENSG00000189339	SLC35E2B
130	1	1671990	1674397	ENSG00000269737	RP11-345P4.6
131	1	1699942	1701782	ENSG00000215914	MMP23A
132	1	1702730	1724324	ENSG00000008128	CDK11A
133	1	1702736	1737688	ENSG00000268575	RP1-283E3.8
134	1	1724512	1737251	ENSG00000227775	RP1-283E3.4
135	1	1724838	1745992	ENSG00000215790	SLC35E2
136	1	1751232	1780457	ENSG00000008130	NADK
137	1	1785285	1891117	ENSG00000078369	GNB1
138	1	1891471	1892658	ENSG00000231050	RP1-140A9.1
139	1	1914827	1917296	ENSG00000169885	CALML6
140	1	1917590	1919273	ENSG00000178821	TMEM52
141	1	1921951	2003837	ENSG00000142609	CFAP74
142	1	2013213	2015530	ENSG00000233542	RP11-547D24.1
143	1	2019324	2030751	ENSG00000187730	GABRD
144	1	2049203	2050070	ENSG00000226969	RP11-547D24.3
145	1	2050470	2185395	ENSG00000067606	PRKCZ
146	1	2141084	2145279	ENSG00000271806	RP5-892K4.1
147	1	2181794	2184389	ENSG00000182873	RP11-181G12.2
148	1	2184461	2212720	ENSG00000162585	FAAP20
149	1	2212523	2220738	ENSG00000234396	RP11-181G12.4
150	1	2228695	2310119	ENSG00000157933	SKI
151	1	2321253	2391707	ENSG00000116151	MORN1
152	1	2326201	2326693	ENSG00000272161	RP4-713A8.1
153	1	2350414	2352820	ENSG00000269896	RP4-740C4.5
154	1	2363061	2363628	ENSG00000272420	RP4-740C4.7
155	1	2391775	2405444	ENSG00000157916	RER1
156	1	2403964	2413797	ENSG00000157911	PEX10
157	1	2425980	2505530	ENSG00000149527	PLCH2
158	1	2492300	2493258	ENSG00000224387	RP3-395M20.2
159	1	2493437	2494479	ENSG00000229393	RP3-395M20.3
160	1	2508533	2526628	ENSG00000157881	PANK4
161	1	2528745	2530245	ENSG00000197921	HES5
162	1	2546465	2547460	ENSG00000272449	RP3-395M20.12
163	1	2549920	2557031	ENSG00000238164	RP3-395M20.8
164	1	2555639	2565382	ENSG00000157873	TNFRSF14
165	1	2566410	2569888	ENSG00000225931	RP3-395M20.7
166	1	2581560	2584533	ENSG00000228037	RP3-395M20.9
167	1	2586491	2591469	ENSG00000157870	FAM213B
168	1	2590639	2632990	ENSG00000142606	MMEL1
169	1	2632568	2636620	ENSG00000237058	RP13-436F16.1
170	1	2635976	2801717	ENSG00000215912	TTC34
171	1	2773603	2776473	ENSG00000283259	ABC14-1188822O7.1
172	1	2811850	2812692	ENSG00000233234	RP11-740P5.2
173	1	2814432	2814998	ENSG00000231630	RP11-740P5.3
174	1	3021483	3022903	ENSG00000169717	ACTRT2
175	1	3059615	3068437	ENSG00000177133	LINC00982
176	1	3069168	3438621	ENSG00000142611	PRDM16
177	1	3127975	3128035	ENSG00000283572	MIR4251
178	1	3132927	3133709	ENSG00000226286	RP1-163G9.2
179	1	3205988	3208664	ENSG00000279839	RP11-193J6.1
180	1	3306636	3310096	ENSG00000272235	RP11-22L13.1
181	1	3454426	3481113	ENSG00000130762	ARHGEF16
182	1	3487246	3487627	ENSG00000272088	RP11-168F9.2
183	1	3489920	3611495	ENSG00000162591	MEGF6
184	1	3560695	3560790	ENSG00000207776	MIR551A
185	1	3623190	3624743	ENSG00000238260	RP11-46F15.2
186	1	3625002	3630127	ENSG00000158109	TPRG1L
187	1	3630767	3652761	ENSG00000116213	WRAP73
188	1	3652520	3736201	ENSG00000078900	TP73
189	1	3658938	3668772	ENSG00000227589	RP5-1092A11.5
190	1	3712200	3714298	ENSG00000235131	RP5-1092A11.2
191	1	3735601	3747336	ENSG00000227372	TP73-AS1
192	1	3736943	3737103	ENSG00000276189	TP73-AS1
193	1	3746460	3771645	ENSG00000162592	CCDC27
194	1	3772788	3775982	ENSG00000235169	SMIM1
195	1	3778558	3796504	ENSG00000130764	LRRC47
196	1	3782815	3783111	ENSG00000266075	RN7SL574P
197	1	3785008	3785538	ENSG00000272153	RP1-286D6.5
198	1	3812081	3857214	ENSG00000116198	CEP104
199	1	3857267	3885429	ENSG00000169598	DFFB
200	1	3889125	3900293	ENSG00000198912	C1orf174
201	1	3900372	3917225	ENSG00000236423	LINC01134
202	1	3940565	3955262	ENSG00000233304	LINC01346
203	1	3944547	3948980	ENSG00000226374	RP13-614K11.2
204	1	4175528	4175899	ENSG00000229280	EEF1DP6
205	1	4412027	4424689	ENSG00000235054	RP5-1166F10.1
206	1	4551735	4552145	ENSG00000227169	RP1-37J18.1
207	1	4571481	4594009	ENSG00000232596	RP1-37J18.2
208	1	4654732	4792534	ENSG00000196581	AJAP1
209	1	5086459	5090899	ENSG00000231510	RP11-542C10.1
210	1	5492978	5494674	ENSG00000260972	RP1-58B11.1
211	1	5554747	5554881	ENSG00000283356	RP3-491M17.1
212	1	5561709	5668295	ENSG00000236948	RP11-154H17.1
213	1	5564071	5564143	ENSG00000264341	MIR4417
214	1	5862672	5862741	ENSG00000264101	MIR4689
215	1	5862811	5992473	ENSG00000131697	NPHP4
216	1	5991466	6101193	ENSG00000069424	KCNAB2
217	1	6101793	6180123	ENSG00000116254	CHD5
218	1	6181269	6209389	ENSG00000116251	RPL22
219	1	6204840	6205780	ENSG00000226944	RP1-120G22.11
220	1	6205475	6221299	ENSG00000158286	RNF207
221	1	6221193	6235972	ENSG00000116237	ICMT
222	1	6236240	6239444	ENSG00000225077	LINC00337
223	1	6244192	6245578	ENSG00000173673	HES3
224	1	6247346	6260975	ENSG00000158292	GPR153
225	1	6264269	6394391	ENSG00000097021	ACOT7
226	1	6393555	6394391	ENSG00000271746	RP1-202O8.3
227	1	6412418	6424670	ENSG00000069812	HES2
228	1	6424788	6461370	ENSG00000187017	ESPN
229	1	6429834	6429896	ENSG00000265392	MIR4252
230	1	6443034	6447006	ENSG00000231868	RP1-202O8.2
231	1	6461151	6466195	ENSG00000215788	TNFRSF25
232	1	6466092	6520061	ENSG00000171680	PLEKHG5
233	1	6521347	6554535	ENSG00000162408	NOL9
234	1	6540854	6540964	ENSG00000253022	RNU6-731P
235	1	6547905	6548619	ENSG00000229519	RP11-58A11.2
236	1	6555181	6579757	ENSG00000173662	TAS1R1
237	1	6580001	6589280	ENSG00000204859	ZBTB48
238	1	6590724	6614607	ENSG00000162413	KLHL21
239	1	6613685	6624033	ENSG00000116273	PHF13
240	1	6624866	6635586	ENSG00000041988	THAP3
241	1	6634168	6701924	ENSG00000007923	DNAJC11
242	1	6724637	6730012	ENSG00000228750	RP11-242F24.1
243	1	6783892	6784843	ENSG00000237436	RP11-312B8.1
244	1	6785324	7769706	ENSG00000171735	CAMTA1
245	1	6834333	6834618	ENSG00000227950	RP11-312B8.2
246	1	7008376	7014279	ENSG00000237365	RP11-334N17.1
247	1	7219360	7219524	ENSG00000207056	RNU1-8P
248	1	7368942	7370270	ENSG00000237402	CAMTA1-IT1
249	1	7382487	7389754	ENSG00000237728	RP3-453P22.2
250	1	7441096	7441554	ENSG00000225126	RP4-549F15.1
251	1	7693124	7694844	ENSG00000270171	RP11-338N10.1
252	1	7698303	7698872	ENSG00000270035	RP11-338N10.2
253	1	7700704	7700970	ENSG00000269978	RP11-338N10.3
254	1	7771269	7781432	ENSG00000049245	VAMP3
255	1	7776383	7776775	ENSG00000269925	RP3-467L1.6
256	1	7784320	7845177	ENSG00000049246	PER3
257	1	7810242	7827342	ENSG00000236266	RP3-467L1.4
258	1	7843083	7853512	ENSG00000049247	UTS2
259	1	7915894	7943165	ENSG00000049249	TNFRSF9
260	1	7942372	7942726	ENSG00000270330	RP5-892F13.2
261	1	7954291	7985505	ENSG00000116288	PARK7
262	1	7982881	7982983	ENSG00000200344	Y_RNA
263	1	8004404	8026308	ENSG00000116285	ERRFI1
264	1	8026738	8122702	ENSG00000238290	RP11-431K24.1
265	1	8057245	8058463	ENSG00000232848	CTA-215D11.4
266	1	8189824	8192770	ENSG00000229305	RP11-431K24.2
267	1	8202429	8215210	ENSG00000227634	RP11-431K24.3
268	1	8206434	8206597	ENSG00000200975	RNU1-7P
269	1	8218190	8220529	ENSG00000233645	RP11-431K24.4
270	1	8292157	8292263	ENSG00000251977	RNU6-991P
271	1	8317826	8344167	ENSG00000162426	SLC45A1
272	1	8328067	8328179	ENSG00000252254	Y_RNA
273	1	8352397	8817643	ENSG00000142599	RERE
274	1	8424645	8434838	ENSG00000232912	RP5-1115A15.1
275	1	8511795	8511919	ENSG00000221083	SNORA77
276	1	8512653	8513021	ENSG00000270282	RP5-1115A15.2
277	1	8750430	8751087	ENSG00000234619	RPL7P11
278	1	8786211	8786913	ENSG00000224315	RPL7P7
279	1	8796571	8796673	ENSG00000222511	Y_RNA
280	1	8798475	8799506	ENSG00000226545	RP4-633I8.3
281	1	8805860	8807051	ENSG00000228423	RP4-633I8.4
282	1	8831007	8831375	ENSG00000229716	RPL23AP19
283	1	8861002	8879249	ENSG00000074800	ENO1
284	1	8866502	8866590	ENSG00000274258	MIR6728
285	1	8875788	8878007	ENSG00000236269	ENO1-IT1
286	1	8878835	8879894	ENSG00000230679	ENO1-AS1
287	1	8883427	8883533	ENSG00000201725	RNU6-304P
288	1	8893409	8894151	ENSG00000238249	HMGN2P17
289	1	8907393	8907744	ENSG00000232208	RP3-477M7.5
290	1	8909742	8909904	ENSG00000232663	RP3-477M7.6
291	1	8945867	8975092	ENSG00000131686	CA6
292	1	8979576	8979874	ENSG00000265141	RN7SL451P
293	1	9003300	9026345	ENSG00000197241	SLC2A7
294	1	9035107	9088478	ENSG00000142583	SLC2A5
295	1	9082696	9082879	ENSG00000252404	SCARNA16
296	1	9100305	9129170	ENSG00000180758	GPR157
297	1	9148011	9196983	ENSG00000228526	MIR34A
298	1	9182004	9196284	ENSG00000234546	RP3-510D11.2
299	1	9197143	9198906	ENSG00000281937	RP3-510D11.4
300	1	9234775	9271337	ENSG00000049239	H6PD
301	1	9292880	9369532	ENSG00000171621	SPSB1
302	1	9437669	9437778	ENSG00000252956	RNA5SP40
303	1	9501092	9503471	ENSG00000235263	RP13-392I16.1
304	1	9539482	9585179	ENSG00000171612	SLC25A33
305	1	9576427	9576985	ENSG00000231181	RP13-15M17.1
306	1	9588922	9614873	ENSG00000188807	TMEM201
307	1	9651732	9729114	ENSG00000171608	PIK3CD
308	1	9652610	9654586	ENSG00000179840	PIK3CD-AS1
309	1	9660828	9662626	ENSG00000233268	RP11-558F24.2
310	1	9672426	9687555	ENSG00000231789	PIK3CD-AS2
311	1	9729026	9824526	ENSG00000171603	CLSTN1
312	1	9780822	9781240	ENSG00000271264	MZT1P1
313	1	9827610	9828258	ENSG00000280113	AL357140.1
314	1	9848276	9910336	ENSG00000178585	CTNNBIP1
315	1	9848318	9850154	ENSG00000223989	RP11-84A14.5
316	1	9922113	9943407	ENSG00000162441	LZIC
317	1	9942923	9949974	ENSG00000228150	RP11-84A14.4
318	1	9943428	9985501	ENSG00000173614	NMNAT1
319	1	9947318	9947636	ENSG00000202415	RN7SKP269
320	1	9951231	9960832	ENSG00000283611	RP11-84A14.6
321	1	9967381	9967458	ENSG00000265521	MIR5697
322	1	9983141	9984568	ENSG00000241326	RP11-807G9.2
323	1	9997206	10016020	ENSG00000162444	RBP7
324	1	10032832	10181239	ENSG00000130939	UBE4B
325	1	10054445	10054781	ENSG00000224340	RP11-496H15.2
326	1	10058671	10059648	ENSG00000233623	PGAM1P11
327	1	10163268	10163374	ENSG00000201746	RNU6-828P
328	1	10210805	10381603	ENSG00000054523	KIF1B
329	1	10227718	10227803	ENSG00000264881	MIR1273D
330	1	10298966	10299072	ENSG00000199562	RNU6-37P
331	1	10306465	10306757	ENSG00000264501	RN7SL731P
332	1	10398592	10420144	ENSG00000142657	PGD
333	1	10429881	10430677	ENSG00000271989	RP4-736L20.3
334	1	10430102	10452153	ENSG00000251503	APITD1-CORT
335	1	10430443	10442809	ENSG00000175279	APITD1
336	1	10449719	10451902	ENSG00000241563	CORT
337	1	10456522	10472526	ENSG00000160049	DFFA
338	1	10458555	10459338	ENSG00000203469	RP5-1113E3.3
339	1	10472288	10630758	ENSG00000142655	PEX14
340	1	10616836	10617115	ENSG00000243267	RN7SL614P
341	1	10636604	10796650	ENSG00000130940	CASZ1
342	1	10639241	10654333	ENSG00000272078	RP4-734G22.3
343	1	10895761	10895998	ENSG00000225158	HSPE1P24
344	1	10946471	10982037	ENSG00000175262	C1orf127
345	1	10990978	10991797	ENSG00000215785	CFL1P6
346	1	11012344	11026420	ENSG00000120948	TARDBP
347	1	11012662	11030528	ENSG00000277726	RP4-635E18.9
348	1	11026523	11047233	ENSG00000009724	MASP2
349	1	11029659	11030528	ENSG00000271895	RP4-635E18.8
350	1	11054584	11060024	ENSG00000116649	SRM
351	1	11066618	11099881	ENSG00000171824	EXOSC10
352	1	11068471	11073097	ENSG00000226849	RP4-635E18.7
353	1	11099675	11102100	ENSG00000230337	RP4-635E18.6
354	1	11106535	11262507	ENSG00000198793	MTOR
355	1	11143898	11149537	ENSG00000225602	MTOR-AS1
356	1	11152350	11152452	ENSG00000253086	RNU6-537P
357	1	11189341	11195981	ENSG00000171819	ANGPTL7
358	1	11226254	11226360	ENSG00000207451	RNU6-291P
359	1	11232963	11233112	ENSG00000238173	RPL39P6
360	1	11273206	11296049	ENSG00000120942	UBIAD1
361	1	11278616	11279351	ENSG00000238199	UBE2V2P3
362	1	11425257	11425821	ENSG00000224338	MTCYBP45
363	1	11479166	11537584	ENSG00000204624	DISP3
364	1	11609531	11613355	ENSG00000235643	RP1-69M21.2
365	1	11648367	11655785	ENSG00000116661	FBXO2
366	1	11654375	11663327	ENSG00000132879	FBXO44
367	1	11664124	11674354	ENSG00000116663	FBXO6
368	1	11674480	11691650	ENSG00000116670	MAD2L2
369	1	11691729	11725857	ENSG00000162490	DRAXIN
370	1	11736084	11754802	ENSG00000177674	AGTRAP
371	1	11761787	11789585	ENSG00000215910	C1orf167
372	1	11777077	11779619	ENSG00000177553	RP11-56N19.5
373	1	11785723	11806920	ENSG00000177000	MTHFR
374	1	11806096	11843144	ENSG00000011021	CLCN6
375	1	11841017	11848079	ENSG00000242349	NPPA-AS1
376	1	11843812	11843984	ENSG00000276470	NPPA-AS1_1
377	1	11845549	11845697	ENSG00000278852	NPPA-AS1_2
378	1	11845709	11848345	ENSG00000175206	NPPA
379	1	11847442	11847549	ENSG00000275915	NPPA-AS1_3
380	1	11857464	11858931	ENSG00000120937	NPPB
381	1	11877770	11880406	ENSG00000224904	RP5-934G17.6
382	1	11908152	11908271	ENSG00000199347	RNU5E-1
383	1	11909808	11909927	ENSG00000201801	RNU5E-4P
384	1	11919591	11926428	ENSG00000116685	KIAA2013
385	1	11934205	11975538	ENSG00000083444	PLOD1
386	1	11980181	12013514	ENSG00000116688	MFN2
387	1	12017216	12017308	ENSG00000270914	RP5-1077B9.5
388	1	12019466	12032045	ENSG00000116691	MIIP
389	1	12024012	12024124	ENSG00000202461	Y_RNA
390	1	12029158	12029222	ENSG00000276869	MIR6729
391	1	12036740	12037014	ENSG00000243539	RN7SL649P
392	1	12063377	12144207	ENSG00000120949	TNFRSF8
393	1	12077881	12077984	ENSG00000201135	RNU6-777P
394	1	12080293	12080547	ENSG00000227875	RPL23AP89
395	1	12166943	12209228	ENSG00000028137	TNFRSF1B
396	1	12191713	12191773	ENSG00000263676	MIR4632
397	1	12220794	12221109	ENSG00000225196	RP5-1118D24.2
398	1	12221148	12221271	ENSG00000252969	SNORA70
399	1	12230067	12512047	ENSG00000048707	VPS13D
400	1	12507246	12507397	ENSG00000239149	SNORA59A
401	1	12527724	12528420	ENSG00000229484	RP5-888M10.2
402	1	12567910	12617731	ENSG00000162496	DHRS3
403	1	12569972	12570072	ENSG00000221340	RNU6ATAC18P
404	1	12578957	12579023	ENSG00000276830	MIR6730
405	1	12618900	12619244	ENSG00000272482	RP11-474O21.5
406	1	12644547	12667086	ENSG00000204518	AADACL4
407	1	12692909	12693020	ENSG00000226166	RP11-474O21.2
408	1	12716115	12728759	ENSG00000188984	AADACL3
409	1	12746215	12763699	ENSG00000157330	C1orf158
410	1	12774841	12777906	ENSG00000116726	PRAMEF12
411	1	12791397	12796628	ENSG00000116721	PRAMEF1
412	1	12822686	12823159	ENSG00000228338	RP5-845O24.8
413	1	12824605	12831410	ENSG00000239810	PRAMEF11
414	1	12838125	12841357	ENSG00000231103	PRAMEF30P
415	1	12847408	12848725	ENSG00000179172	HNRNPCL1
416	1	12857086	12861909	ENSG00000120952	PRAMEF2
417	1	12879224	12886201	ENSG00000243073	PRAMEF4
418	1	12892896	12898270	ENSG00000187545	PRAMEF10
419	1	12916610	12920482	ENSG00000204510	PRAMEF7
420	1	12922554	12922660	ENSG00000207434	RNU6-1072P
421	1	12926162	12928253	ENSG00000234064	PRAMEF29P
422	1	12938472	12947580	ENSG00000232423	PRAMEF6
423	1	13029339	13032130	ENSG00000274178	PRAMEF28P
424	1	13049476	13056491	ENSG00000274764	PRAMEF27
425	1	13060853	13077884	ENSG00000229571	PRAMEF25
426	1	13060869	13062229	ENSG00000277058	HNRNPCL3
427	1	13095179	13097971	ENSG00000277862	PRAMEF34P
428	1	13104403	13105689	ENSG00000236179	PRAMEF35P
429	1	13115496	13116854	ENSG00000275774	HNRNPCL2
430	1	13128818	13131615	ENSG00000229978	PRAMEF36P
431	1	13146981	13147460	ENSG00000233336	RP13-221M14.2
432	1	13148905	13155961	ENSG00000280267	PRAMEF26
433	1	13164586	13165467	ENSG00000179412	HNRNPCL4
434	1	13172455	13179464	ENSG00000204505	PRAMEF9
435	1	13196823	13199589	ENSG00000279169	PRAMEF13
436	1	13222695	13226133	ENSG00000279804	PRAMEF18
437	1	13245863	13248652	ENSG00000250894	PRAMEF31P
438	1	13254212	13263314	ENSG00000270601	PRAMEF5
439	1	13273539	13275627	ENSG00000231219	PRAMEF32P
440	1	13279125	13279231	ENSG00000207511	RNU6-771P
441	1	13281035	13285174	ENSG00000182330	PRAMEF8
442	1	13303509	13322598	ENSG00000204501	PRAMEF15
443	1	13305955	13308887	ENSG00000237700	PRAMEF33P
444	1	13324039	13324518	ENSG00000228229	RP11-219C24.10
445	1	13342034	13347134	ENSG00000204481	PRAMEF14
446	1	13369067	13371693	ENSG00000204480	PRAMEF19
447	1	13389632	13392629	ENSG00000204479	PRAMEF17
448	1	13410450	13421328	ENSG00000204478	PRAMEF20
449	1	13474977	13514048	ENSG00000162494	LRRC38
450	1	13513220	13516270	ENSG00000259961	RP4-597A16.2
451	1	13555001	13555694	ENSG00000215909	BRWD1P1
452	1	13583465	13617957	ENSG00000162493	PDPN
453	1	13623184	13623284	ENSG00000222952	RNA5SP41
454	1	13657311	13659910	ENSG00000237445	CTA-520D8.2
455	1	13696070	13696199	ENSG00000253085	SCARNA11
456	1	13700198	13825079	ENSG00000116731	PRDM2
457	1	13892792	15118043	ENSG00000189337	KAZN
458	1	14124233	14124335	ENSG00000252151	RNU6-1265P
459	1	14221891	14223118	ENSG00000231606	RP11-344F13.1
460	1	14348955	14391575	ENSG00000234593	RP4-704D23.1
461	1	14692129	14692613	ENSG00000235829	TBCAP2
462	1	15111815	15152464	ENSG00000175147	TMEM51-AS1
463	1	15152532	15220480	ENSG00000171729	TMEM51
464	1	15164344	15171317	ENSG00000204464	C1orf195
465	1	15191828	15192845	ENSG00000215720	RP1-21O18.3
466	1	15226373	15227549	ENSG00000278480	RP5-903E17.2
467	1	15247272	15400283	ENSG00000142621	FHAD1
468	1	15326680	15343876	ENSG00000233485	RP3-467K16.2
469	1	15334166	15335464	ENSG00000236045	RP3-467K16.7
470	1	15402979	15409433	ENSG00000228140	RP3-467K16.4
471	1	15409895	15430343	ENSG00000142634	EFHD2
472	1	15438439	15449242	ENSG00000162438	CTRC
473	1	15456728	15472091	ENSG00000142615	CELA2A
474	1	15465909	15491400	ENSG00000215704	CELA2B
475	1	15490832	15526534	ENSG00000132906	CASP9
476	1	15526813	15592379	ENSG00000116138	DNAJC16
477	1	15542165	15542304	ENSG00000251866	SCARNA21
478	1	15565611	15565956	ENSG00000272510	RP4-680D5.8
479	1	15572353	15585110	ENSG00000116771	AGMAT
480	1	15586136	15603626	ENSG00000237301	RP4-680D5.2
481	1	15604597	15605043	ENSG00000235084	CHCHD2P6
482	1	15608078	15608145	ENSG00000252417	RNU7-179P
483	1	15614643	15614867	ENSG00000236500	RP4-680D5.4
484	1	15617500	15669044	ENSG00000197312	DDI2
485	1	15659869	15661722	ENSG00000215695	RSC1A1
486	1	15682873	15683128	ENSG00000271742	RP4-680D5.9
487	1	15684332	15734769	ENSG00000116786	PLEKHM2
488	1	15720312	15736896	ENSG00000237938	RP11-288I21.1
489	1	15736405	15741396	ENSG00000162461	SLC25A34
